city,country,host,id,price,review,stars,timestamp,titre
"raoucheh, beirut",lebanon,besthoteloffers.net,1562553,4062.0,8.8,4,2018-06-24 12:51:48.017913,raouche arjaan by rotana
"solidere, beirut",lebanon,besthoteloffers.net,1562563,15591.0,9.0,5,2018-06-24 12:51:48.017913,four seasons hotel beirut
"amman, jordan",jordan,besthoteloffers.net,2956093,3517.0,7.8,4,2018-06-24 12:51:48.017913,olive tree hotel amman
"beirut, lebanon",lebanon,besthoteloffers.net,1043751,12532.0,9.1,5,2018-06-24 12:51:48.017913,intercontinental phoenicia beirut
"amman, jordan",jordan,besthoteloffers.net,2537670,1727.0,,3,2018-06-24 12:51:48.017913,lancaster hotel apartments - dahiat al-rasheed
"raoucheh, beirut",lebanon,besthoteloffers.net,1295911,9043.0,7.9,5,2018-06-24 12:51:48.017913,movenpick hotel beirut
"amman, jordan",jordan,besthoteloffers.net,2945306,5507.0,9.0,5,2018-06-24 12:51:48.017913,amman rotana
"parliament square & downtown, beirut",lebanon,besthoteloffers.net,1528939,15591.0,9.1,5,2018-06-24 12:51:48.017913,le gray beirut
"aqaba, jordan",jordan,besthoteloffers.net,1519337,6030.0,9.1,5,2018-06-24 12:51:48.017913,kempinski hotel aqaba red sea
"beirut, lebanon",lebanon,besthoteloffers.net,1196873,4096.0,8.7,5,2018-06-24 12:51:48.017913,gefinor rotana hotel
"amman, jordan",jordan,besthoteloffers.net,1041518,10702.0,9.0,5,2018-06-24 12:51:48.017913,four seasons hotel amman
"al hamra, beirut",lebanon,besthoteloffers.net,1538989,2647.0,7.9,4,2018-06-24 12:51:48.017913,coral beirut al hamra hotel
"aqaba, jordan",jordan,besthoteloffers.net,1529583,6651.0,8.9,5,2018-06-24 12:51:48.017913,movenpick resort & spa tala bay aqaba
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1155227,1715.0,6.3,4,2018-06-24 12:51:48.017913,napoleon hotel beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1351951,6246.0,8.9,5,2018-06-24 12:51:48.017913,kempinski hotel ishtar dead sea
"beirut, lebanon",lebanon,besthoteloffers.net,1043752,4054.0,8.3,5,2018-06-24 12:51:48.017913,radisson blu martinez hotel beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1562728,5442.0,7.9,5,2018-06-24 12:51:48.017913,movenpick resort & spa dead sea
"beirut, lebanon",lebanon,besthoteloffers.net,1196876,4673.0,8.9,5,2018-06-24 12:51:48.017913,le bristol hotel
"amman, jordan",jordan,besthoteloffers.net,1138998,7275.0,8.8,5,2018-06-24 12:51:48.017913,intercontinental jordan
"parliament square & downtown, beirut",lebanon,besthoteloffers.net,1465066,4288.0,8.0,4,2018-06-24 12:51:48.017913,ramada beirut downtown
"amman, jordan",jordan,besthoteloffers.net,1041536,4273.0,6.8,5,2018-06-24 12:51:48.017913,the regency palace hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1787958,2534.0,7.8,4,2018-06-24 12:51:48.017913,wh hotel
"amman, jordan",jordan,besthoteloffers.net,2752386,1421.0,6.6,3,2018-06-24 12:51:48.017913,al bateel hotel apartments
"beirut, lebanon",lebanon,besthoteloffers.net,1043747,3278.0,8.3,5,2018-06-24 12:51:48.017913,golden tulip galleria hotel
"amman, jordan",jordan,besthoteloffers.net,1196424,5557.0,8.8,5,2018-06-24 12:51:48.017913,grand hyatt amman
"beirut, lebanon",lebanon,besthoteloffers.net,1196877,3413.0,7.4,5,2018-06-24 12:51:48.017913,le commodore hotel
"amman, jordan",jordan,besthoteloffers.net,1041523,5958.0,7.6,5,2018-06-24 12:51:48.017913,holiday inn amman
"beirut, lebanon",lebanon,besthoteloffers.net,1522657,2651.0,6.8,4,2018-06-24 12:51:48.017913,plaza hotel beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1351952,5727.0,8.8,5,2018-06-24 12:51:48.017913,jordan valley marriott resort & spa
"al hamra, beirut",lebanon,besthoteloffers.net,1222371,5682.0,8.4,5,2018-06-24 12:51:48.017913,crowne plaza hamra beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1416128,3794.0,6.9,4,2018-06-24 12:51:48.017913,dead sea spa hotel
"raoucheh, beirut",lebanon,besthoteloffers.net,1043741,3742.0,8.0,4,2018-06-24 12:51:48.017913,lancaster raouche hotel
"wadi musa, jordan",jordan,besthoteloffers.net,2777225,1249.0,7.9,3,2018-06-24 12:51:48.017913,petra nights hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1155245,12486.0,9.2,5,2018-06-24 12:51:48.017913,le vendome intercontinental beirut
"aqaba, jordan",jordan,besthoteloffers.net,1684831,1871.0,8.5,3,2018-06-24 12:51:48.017913,al qidra hotel
"manara, beirut",lebanon,besthoteloffers.net,1539324,2391.0,7.4,4,2018-06-24 12:51:48.017913,city suite hotel beirut
"amman, jordan",jordan,besthoteloffers.net,2547601,5168.0,8.8,5,2018-06-24 12:51:48.017913,the boulevard arjaan
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1196874,2144.0,4.3,4,2018-06-24 12:51:48.017913,grand hotel beirut
"aqaba, jordan",jordan,besthoteloffers.net,1041984,7816.0,9.0,5,2018-06-24 12:51:48.017913,intercontinental aqaba resort
"al hamra, beirut",lebanon,besthoteloffers.net,1043730,3508.0,8.2,4,2018-06-24 12:51:48.017913,cavalier hotel beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1734065,4112.0,6.6,4,2018-06-24 12:51:48.017913,ramada resort dead sea
"beirut, lebanon",lebanon,besthoteloffers.net,1246076,6566.0,7.4,5,2018-06-24 12:51:48.017913,coral beach hotel & resort beirut
"aqaba, jordan",jordan,besthoteloffers.net,1463521,4683.0,6.7,4,2018-06-24 12:51:48.017913,marina plaza hotel
"al hamra, beirut",lebanon,besthoteloffers.net,1719028,2495.0,7.6,4,2018-06-24 12:51:48.017913,lavender home
"amman, jordan",jordan,besthoteloffers.net,1650547,568.0,6.0,1,2018-06-24 12:51:48.017913,sun rise hotel amman
"al hamra, beirut",lebanon,besthoteloffers.net,2958464,2921.0,8.7,4,2018-06-24 12:51:48.017913,gems hotel
"aqaba, jordan",jordan,besthoteloffers.net,1650416,3262.0,8.6,5,2018-06-24 12:51:48.017913,doubletree by hilton hotel aqaba
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1043748,2517.0,7.6,4,2018-06-24 12:51:48.017913,mayflower hotel beirut
"madaba, jordan",jordan,besthoteloffers.net,1519323,5821.0,7.9,5,2018-06-24 12:51:48.017913,evason ma'in hot springs & six senses spa hotel madaba
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1196882,6760.0,7.2,4,2018-06-24 12:51:48.017913,riviera hotel beirut
"aqaba, jordan",jordan,besthoteloffers.net,2677874,4335.0,6.8,5,2018-06-24 12:51:48.017913,swiss-belhotel aqaba city
"raoucheh, beirut",lebanon,besthoteloffers.net,2050396,8770.0,9.0,5,2018-06-24 12:51:48.017913,lancaster plaza hotel
