city,country,host,id,price,review,stars,timestamp,titre
oud metha,united arab emirates,hotels.com,199445,883.0,8.6,5,2018-06-24 18:38:14.556195,movenpick hotel & apartments bur dubai
culture village,united arab emirates,hotels.com,490216,2452.0,9.4,5,2018-06-24 18:38:14.556195,palazzo versace dubai
culture village,united arab emirates,hotels.com,598970752,594.0,7.2,4,2018-06-24 18:38:14.556195,goldstate hotel
culture village,united arab emirates,hotels.com,474731,501.0,6.6,4,2018-06-24 18:38:14.556195,reflections hotel dubai
culture village,united arab emirates,hotels.com,700354112,784.0,,4,2018-06-24 18:38:14.556195,"form hotel dubai, a member of design hotels"
maghnia,algeria,hotels.com,390849,1575.0,8.2,5,2018-06-24 18:38:14.556195,renaissance tlemcen hotel
timimoun,algeria,hotels.com,591130,1460.0,8.0,4,2018-06-24 18:38:14.556195,hotel gourara
taghit,algeria,hotels.com,592733,1268.0,8.0,4,2018-06-24 18:38:14.556195,hotel taghit saoura
skikda,algeria,hotels.com,313539296,2079.0,5.0,5,2018-06-24 18:38:14.556195,royal tulip skikda
sidi bel abbes,algeria,hotels.com,452219,1016.0,6.8,4,2018-06-24 18:38:14.556195,eden bel abbes
business bay,united arab emirates,hotels.com,854433312,932.0,,5,2018-06-24 18:38:14.556195,canal central hotel
business bay,united arab emirates,hotels.com,620727776,1759.0,9.6,5,2018-06-24 18:38:14.556195,"renaissance downtown hotel, dubai"
business bay,united arab emirates,hotels.com,419330,1875.0,9.2,5,2018-06-24 18:38:14.556195,the oberoi
business bay,united arab emirates,hotels.com,421532,1413.0,9.4,5,2018-06-24 18:38:14.556195,jw marriott marquis hotel dubai
business bay,united arab emirates,hotels.com,394431840,1033.0,8.6,5,2018-06-24 18:38:14.556195,"steigenberger hotel business bay, dubai"
al baraha,united arab emirates,hotels.com,395568,407.0,7.0,4,2018-06-24 18:38:14.556195,hues boutique hotel
ajman,united arab emirates,hotels.com,685472,2794.0,9.6,5,2018-06-24 18:38:14.556195,"the oberoi beach resort, al zorah"
ajman,united arab emirates,hotels.com,429007,982.0,8.6,5,2018-06-24 18:38:14.556195,bahi ajman palace hotel
ajman,united arab emirates,hotels.com,427741,529.0,7.6,4,2018-06-24 18:38:14.556195,ramada beach hotel ajman
ain al fayda,united arab emirates,hotels.com,686063,798.0,8.8,5,2018-06-24 18:38:14.556195,ayla grand hotel
ain al fayda,united arab emirates,hotels.com,226871,901.0,8.4,5,2018-06-24 18:38:14.556195,al ain rotana
ain al fayda,united arab emirates,hotels.com,368946,1070.0,8.0,5,2018-06-24 18:38:14.556195,danat al ain resort
ain al fayda,united arab emirates,hotels.com,380638,1066.0,8.4,4,2018-06-24 18:38:14.556195,ayla hotel
ain al fayda,united arab emirates,hotels.com,485563,783.0,8.0,4,2018-06-24 18:38:14.556195,ayla bawadi hotel & mall
ain al fayda,united arab emirates,hotels.com,212060,912.0,8.2,4,2018-06-24 18:38:14.556195,mercure grand jebel hafeet al ain hotel
ain al fayda,united arab emirates,hotels.com,236220,598.0,7.2,4,2018-06-24 18:38:14.556195,hilton al ain
endurance city,united arab emirates,hotels.com,442181,2711.0,9.0,5,2018-06-24 18:38:14.556195,anantara the palm dubai resort
falaj al moalla,united arab emirates,hotels.com,307341,615.0,7.8,4,2018-06-24 18:38:14.556195,ramada hotel and suites ajman
falaj al moalla,united arab emirates,hotels.com,452057,945.0,5.8,4,2018-06-24 18:38:14.556195,crown palace hotel
dubai healthcare city,united arab emirates,hotels.com,207369,1352.0,9.2,5,2018-06-24 18:38:14.556195,grand hyatt dubai
dubai healthcare city,united arab emirates,hotels.com,499419,981.0,8.8,5,2018-06-24 18:38:14.556195,hyatt regency dubai creek heights
ghalilah,united arab emirates,hotels.com,448507,1244.0,7.6,4,2018-06-24 18:38:14.556195,atana khasab hotel
